RK,Team,Total PointsPTS,date
41,EgyptEGY,602,12/19/2001
42,Korea RepublicKOR,599,12/19/2001
43,PeruPER,598,12/19/2001
44,Côte d'IvoireCIV,596,12/19/2001
45,UkraineUKR,593,12/19/2001
46,FinlandFIN,588,12/19/2001
47,SlovakiaSVK,588,12/19/2001
48,AustraliaAUS,586,12/19/2001
49,IsraelISR,583,12/19/2001
50,ScotlandSCO,577,12/19/2001
1,FranceFRA,812,1/16/2002
2,ArgentinaARG,801,1/16/2002
3,BrazilBRA,793,1/16/2002
4,PortugalPOR,741,1/16/2002
5,ColombiaCOL,739,1/16/2002
6,ItalyITA,734,1/16/2002
7,SpainESP,730,1/16/2002
8,NetherlandsNED,722,1/16/2002
9,MexicoMEX,714,1/16/2002
10,EnglandENG,712,1/16/2002
11,YugoslaviaYUG,710,1/16/2002
12,GermanyGER,707,1/16/2002
13,ParaguayPAR,691,1/16/2002
14,Czech RepublicCZE,689,1/16/2002
15,RomaniaROU,686,1/16/2002
16,SwedenSWE,676,1/16/2002
17,DenmarkDEN,672,1/16/2002
18,Republic of IrelandIRL,672,1/16/2002
19,CroatiaCRO,668,1/16/2002
20,BelgiumBEL,666,1/16/2002
21,RussiaRUS,665,1/16/2002
22,UruguayURU,664,1/16/2002
23,TurkeyTUR,663,1/16/2002
24,USAUSA,662,1/16/2002
25,HondurasHON,650,1/16/2002
26,NorwayNOR,650,1/16/2002
27,SloveniaSVN,650,1/16/2002
28,TunisiaTUN,649,1/16/2002
29,IR IranIRN,641,1/16/2002
30,Costa RicaCRC,635,1/16/2002
31,PolandPOL,629,1/16/2002
32,Saudi ArabiaKSA,629,1/16/2002
33,South AfricaRSA,629,1/16/2002
34,Trinidad and TobagoTRI,629,1/16/2002
35,JapanJPN,626,1/16/2002
36,MoroccoMAR,619,1/16/2002
37,CameroonCMR,614,1/16/2002
38,EcuadorECU,613,1/16/2002
39,ChileCHI,604,1/16/2002
40,NigeriaNGA,604,1/16/2002
41,EgyptEGY,601,1/16/2002
42,Korea RepublicKOR,599,1/16/2002
43,PeruPER,598,1/16/2002
44,Côte d'IvoireCIV,596,1/16/2002
45,UkraineUKR,593,1/16/2002
46,FinlandFIN,590,1/16/2002
47,SlovakiaSVK,588,1/16/2002
48,AustraliaAUS,586,1/16/2002
49,IsraelISR,583,1/16/2002
50,ScotlandSCO,577,1/16/2002
1,FranceFRA,809,2/13/2002
2,ArgentinaARG,799,2/13/2002
3,BrazilBRA,791,2/13/2002
4,PortugalPOR,738,2/13/2002
5,ColombiaCOL,737,2/13/2002
6,ItalyITA,731,2/13/2002
7,SpainESP,727,2/13/2002
8,NetherlandsNED,720,2/13/2002
9,MexicoMEX,720,2/13/2002
10,EnglandENG,709,2/13/2002
11,YugoslaviaYUG,707,2/13/2002
12,GermanyGER,704,2/13/2002
13,USAUSA,696,2/13/2002
14,ParaguayPAR,689,2/13/2002
15,Czech RepublicCZE,686,2/13/2002
16,RomaniaROU,684,2/13/2002
17,SwedenSWE,679,2/13/2002
18,CameroonCMR,673,2/13/2002
19,Republic of IrelandIRL,670,2/13/2002
20,DenmarkDEN,670,2/13/2002
21,CroatiaCRO,667,2/13/2002
22,BelgiumBEL,664,2/13/2002
23,RussiaRUS,662,2/13/2002
24,UruguayURU,662,2/13/2002
25,TurkeyTUR,661,2/13/2002
26,Costa RicaCRC,649,2/13/2002
27,HondurasHON,648,2/13/2002
28,SloveniaSVN,648,2/13/2002
29,TunisiaTUN,647,2/13/2002
30,NorwayNOR,647,2/13/2002
31,NigeriaNGA,640,2/13/2002
32,IR IranIRN,639,2/13/2002
33,South AfricaRSA,631,2/13/2002
34,Saudi ArabiaKSA,629,2/13/2002
35,Trinidad and TobagoTRI,629,2/13/2002
36,PolandPOL,627,2/13/2002
37,EcuadorECU,626,2/13/2002
38,JapanJPN,624,2/13/2002
39,MoroccoMAR,618,2/13/2002
40,EgyptEGY,607,2/13/2002
41,Korea RepublicKOR,602,2/13/2002
42,ChileCHI,601,2/13/2002
43,SlovakiaSVK,597,2/13/2002
44,PeruPER,597,2/13/2002
45,SenegalSEN,595,2/13/2002
46,Côte d'IvoireCIV,594,2/13/2002
47,FinlandFIN,591,2/13/2002
48,UkraineUKR,591,2/13/2002
49,AustraliaAUS,584,2/13/2002
50,IsraelISR,580,2/13/2002
1,FranceFRA,807,3/20/2002
2,ArgentinaARG,793,3/20/2002
3,BrazilBRA,788,3/20/2002
4,ItalyITA,738,3/20/2002
5,ColombiaCOL,735,3/20/2002
6,PortugalPOR,733,3/20/2002
7,SpainESP,728,3/20/2002
8,MexicoMEX,719,3/20/2002
9,NetherlandsNED,718,3/20/2002
10,GermanyGER,710,3/20/2002
11,YugoslaviaYUG,708,3/20/2002
12,EnglandENG,704,3/20/2002
13,USAUSA,702,3/20/2002
14,Czech RepublicCZE,692,3/20/2002
15,ParaguayPAR,685,3/20/2002
16,SwedenSWE,683,3/20/2002
17,RomaniaROU,678,3/20/2002
18,Republic of IrelandIRL,673,3/20/2002
19,CameroonCMR,672,3/20/2002
20,DenmarkDEN,672,3/20/2002
21,BelgiumBEL,665,3/20/2002
22,UruguayURU,661,3/20/2002
23,CroatiaCRO,659,3/20/2002
24,RussiaRUS,657,3/20/2002
25,TurkeyTUR,656,3/20/2002
26,HondurasHON,649,3/20/2002
27,Costa RicaCRC,648,3/20/2002
28,SloveniaSVN,646,3/20/2002
29,TunisiaTUN,643,3/20/2002
30,NorwayNOR,642,3/20/2002
31,IR IranIRN,636,3/20/2002
32,NigeriaNGA,632,3/20/2002
33,PolandPOL,630,3/20/2002
34,Trinidad and TobagoTRI,628,3/20/2002
35,Saudi ArabiaKSA,627,3/20/2002
36,South AfricaRSA,626,3/20/2002
37,EcuadorECU,625,3/20/2002
38,JapanJPN,622,3/20/2002
39,MoroccoMAR,618,3/20/2002
40,EgyptEGY,602,3/20/2002
41,Korea RepublicKOR,599,3/20/2002
42,UkraineUKR,597,3/20/2002
43,ChileCHI,596,3/20/2002
44,PeruPER,595,3/20/2002
45,SenegalSEN,595,3/20/2002
46,SlovakiaSVK,594,3/20/2002
47,FinlandFIN,593,3/20/2002
48,Côte d'IvoireCIV,590,3/20/2002
49,AustraliaAUS,584,3/20/2002
50,IsraelISR,576,3/20/2002
1,FranceFRA,810,4/17/2002
2,BrazilBRA,787,4/17/2002
3,ArgentinaARG,786,4/17/2002
4,ColombiaCOL,731,4/17/2002
5,PortugalPOR,726,4/17/2002
6,ItalyITA,722,4/17/2002
7,MexicoMEX,715,4/17/2002
8,SpainESP,715,4/17/2002
9,NetherlandsNED,714,4/17/2002
10,YugoslaviaYUG,702,4/17/2002
11,EnglandENG,698,4/17/2002
12,GermanyGER,697,4/17/2002
13,USAUSA,694,4/17/2002
14,Czech RepublicCZE,678,4/17/2002
15,ParaguayPAR,678,4/17/2002
16,RomaniaROU,673,4/17/2002
17,SwedenSWE,671,4/17/2002
18,CameroonCMR,670,4/17/2002
19,Republic of IrelandIRL,670,4/17/2002
20,DenmarkDEN,660,4/17/2002
21,UruguayURU,660,4/17/2002
22,BelgiumBEL,657,4/17/2002
23,CroatiaCRO,653,4/17/2002
24,RussiaRUS,650,4/17/2002
25,TurkeyTUR,650,4/17/2002
26,HondurasHON,649,4/17/2002
27,Costa RicaCRC,645,4/17/2002
28,SloveniaSVN,644,4/17/2002
29,NigeriaNGA,640,4/17/2002
30,TunisiaTUN,640,4/17/2002
31,NorwayNOR,637,4/17/2002
32,IR IranIRN,634,4/17/2002
33,JapanJPN,632,4/17/2002
34,Saudi ArabiaKSA,628,4/17/2002
35,Trinidad and TobagoTRI,626,4/17/2002
36,EcuadorECU,624,4/17/2002
37,South AfricaRSA,624,4/17/2002
38,PolandPOL,620,4/17/2002
39,MoroccoMAR,615,4/17/2002
40,EgyptEGY,604,4/17/2002
41,Korea RepublicKOR,602,4/17/2002
42,FinlandFIN,601,4/17/2002
43,SenegalSEN,596,4/17/2002
44,ChileCHI,594,4/17/2002
45,UkraineUKR,589,4/17/2002
46,Côte d'IvoireCIV,586,4/17/2002
47,PeruPER,586,4/17/2002
48,AustraliaAUS,581,4/17/2002
49,SlovakiaSVK,577,4/17/2002
50,IsraelISR,570,4/17/2002
1,FranceFRA,802,5/15/2002
2,BrazilBRA,784,5/15/2002
3,ArgentinaARG,784,5/15/2002
4,ColombiaCOL,728,5/15/2002
5,PortugalPOR,726,5/15/2002
6,ItalyITA,717,5/15/2002
7,MexicoMEX,716,5/15/2002
8,SpainESP,713,5/15/2002
9,NetherlandsNED,703,5/15/2002
10,YugoslaviaYUG,702,5/15/2002
11,GermanyGER,695,5/15/2002
12,EnglandENG,694,5/15/2002
13,USAUSA,690,5/15/2002
14,RomaniaROU,675,5/15/2002
15,Republic of IrelandIRL,674,5/15/2002
16,Czech RepublicCZE,674,5/15/2002
17,CameroonCMR,672,5/15/2002
18,ParaguayPAR,671,5/15/2002
19,SwedenSWE,665,5/15/2002
20,DenmarkDEN,657,5/15/2002
21,CroatiaCRO,655,5/15/2002
22,TurkeyTUR,654,5/15/2002
23,BelgiumBEL,653,5/15/2002
24,UruguayURU,652,5/15/2002
25,SloveniaSVN,649,5/15/2002
26,HondurasHON,647,5/15/2002
27,NigeriaNGA,644,5/15/2002
28,RussiaRUS,644,5/15/2002
29,Costa RicaCRC,643,5/15/2002
30,IR IranIRN,635,5/15/2002
31,TunisiaTUN,635,5/15/2002
32,JapanJPN,634,5/15/2002
33,NorwayNOR,631,5/15/2002
34,Saudi ArabiaKSA,627,5/15/2002
35,Trinidad and TobagoTRI,624,5/15/2002
36,EcuadorECU,624,5/15/2002
37,South AfricaRSA,623,5/15/2002
38,PolandPOL,615,5/15/2002
39,MoroccoMAR,612,5/15/2002
40,Korea RepublicKOR,603,5/15/2002
41,FinlandFIN,600,5/15/2002
42,SenegalSEN,599,5/15/2002
43,EgyptEGY,598,5/15/2002
44,UkraineUKR,593,5/15/2002
45,ChileCHI,590,5/15/2002
46,Côte d'IvoireCIV,580,5/15/2002
47,PeruPER,578,5/15/2002
48,AustraliaAUS,575,5/15/2002
49,SlovakiaSVK,574,5/15/2002
50,China PRCHN,566,5/15/2002
1,BrazilBRA,852,7/3/2002
2,ArgentinaARG,784,7/3/2002
3,FranceFRA,784,7/3/2002
4,SpainESP,774,7/3/2002
5,GermanyGER,765,7/3/2002
6,MexicoMEX,739,7/3/2002
7,PortugalPOR,731,7/3/2002
8,EnglandENG,728,7/3/2002
9,ColombiaCOL,725,7/3/2002
10,ItalyITA,720,7/3/2002
11,USAUSA,712,7/3/2002
12,TurkeyTUR,707,7/3/2002
13,DenmarkDEN,704,7/3/2002
14,Republic of IrelandIRL,699,7/3/2002
15,NetherlandsNED,697,7/3/2002
16,YugoslaviaYUG,689,7/3/2002
17,CameroonCMR,680,7/3/2002
18,ParaguayPAR,679,7/3/2002
19,BelgiumBEL,678,7/3/2002
20,SwedenSWE,674,7/3/2002
21,Czech RepublicCZE,670,7/3/2002
22,Korea RepublicKOR,664,7/3/2002
23,UruguayURU,662,7/3/2002
24,JapanJPN,658,7/3/2002
25,RomaniaROU,657,7/3/2002
26,Costa RicaCRC,656,7/3/2002
27,CroatiaCRO,653,7/3/2002
28,RussiaRUS,644,7/3/2002
29,NigeriaNGA,642,7/3/2002
30,HondurasHON,640,7/3/2002
31,EcuadorECU,637,7/3/2002
32,SenegalSEN,637,7/3/2002
33,IR IranIRN,634,7/3/2002
34,South AfricaRSA,634,7/3/2002
35,SloveniaSVN,632,7/3/2002
36,TunisiaTUN,626,7/3/2002
37,NorwayNOR,625,7/3/2002
38,Saudi ArabiaKSA,623,7/3/2002
39,PolandPOL,621,7/3/2002
40,MoroccoMAR,606,7/3/2002
41,FinlandFIN,601,7/3/2002
42,Trinidad and TobagoTRI,601,7/3/2002
43,UkraineUKR,595,7/3/2002
44,EgyptEGY,591,7/3/2002
45,ChileCHI,584,7/3/2002
46,SlovakiaSVK,581,7/3/2002
47,Côte d'IvoireCIV,566,7/3/2002
48,PeruPER,563,7/3/2002
49,GreeceGRE,555,7/3/2002
50,AustraliaAUS,552,7/3/2002
1,BrazilBRA,859,8/14/2002
2,ArgentinaARG,781,8/14/2002
3,SpainESP,775,8/14/2002
4,FranceFRA,772,8/14/2002
5,GermanyGER,764,8/14/2002
6,MexicoMEX,733,8/14/2002
7,EnglandENG,728,8/14/2002
8,PortugalPOR,728,8/14/2002
9,ItalyITA,714,8/14/2002
10,USAUSA,714,8/14/2002
11,TurkeyTUR,707,8/14/2002
12,DenmarkDEN,703,8/14/2002
13,Republic of IrelandIRL,699,8/14/2002
14,NetherlandsNED,693,8/14/2002
15,ColombiaCOL,688,8/14/2002
16,YugoslaviaYUG,688,8/14/2002
17,CameroonCMR,682,8/14/2002
18,BelgiumBEL,677,8/14/2002
19,ParaguayPAR,674,8/14/2002
20,SwedenSWE,673,8/14/2002
21,Czech RepublicCZE,664,8/14/2002
22,Korea RepublicKOR,663,8/14/2002
23,JapanJPN,658,8/14/2002
24,UruguayURU,657,8/14/2002
25,Costa RicaCRC,655,8/14/2002
26,CroatiaCRO,651,8/14/2002
27,RomaniaROU,645,8/14/2002
28,NigeriaNGA,640,8/14/2002
29,SenegalSEN,638,8/14/2002
30,RussiaRUS,637,8/14/2002
31,EcuadorECU,636,8/14/2002
32,South AfricaRSA,634,8/14/2002
33,IR IranIRN,633,8/14/2002
34,SloveniaSVN,629,8/14/2002
35,NorwayNOR,621,8/14/2002
36,Saudi ArabiaKSA,620,8/14/2002
37,PolandPOL,618,8/14/2002
38,HondurasHON,615,8/14/2002
39,TunisiaTUN,615,8/14/2002
40,FinlandFIN,600,8/14/2002
41,MoroccoMAR,600,8/14/2002
42,Trinidad and TobagoTRI,591,8/14/2002
43,UkraineUKR,591,8/14/2002
44,EgyptEGY,587,8/14/2002
45,SlovakiaSVK,577,8/14/2002
46,AustraliaAUS,575,8/14/2002
47,New ZealandNZL,558,8/14/2002
48,Côte d'IvoireCIV,553,8/14/2002
49,GreeceGRE,552,8/14/2002
50,ChileCHI,547,8/14/2002
1,BrazilBRA,858,9/18/2002
2,FranceFRA,774,9/18/2002
3,SpainESP,774,9/18/2002
4,GermanyGER,770,9/18/2002
5,ArgentinaARG,760,9/18/2002
6,MexicoMEX,730,9/18/2002
7,TurkeyTUR,721,9/18/2002
8,USAUSA,720,9/18/2002
9,EnglandENG,718,9/18/2002
10,ItalyITA,717,9/18/2002
11,PortugalPOR,712,9/18/2002
12,NetherlandsNED,708,9/18/2002
13,DenmarkDEN,703,9/18/2002
14,Republic of IrelandIRL,701,9/18/2002
15,CameroonCMR,682,9/18/2002
16,ParaguayPAR,680,9/18/2002
17,Czech RepublicCZE,676,9/18/2002
18,ColombiaCOL,675,9/18/2002
19,BelgiumBEL,672,9/18/2002
20,YugoslaviaYUG,672,9/18/2002
21,Korea RepublicKOR,667,9/18/2002
22,SwedenSWE,662,9/18/2002
23,UruguayURU,655,9/18/2002
24,RussiaRUS,652,9/18/2002
25,Costa RicaCRC,651,9/18/2002
26,RomaniaROU,651,9/18/2002
27,JapanJPN,648,9/18/2002
28,SloveniaSVN,642,9/18/2002
29,CroatiaCRO,641,9/18/2002
30,NigeriaNGA,641,9/18/2002
31,EcuadorECU,639,9/18/2002
32,SenegalSEN,638,9/18/2002
33,South AfricaRSA,635,9/18/2002
34,IR IranIRN,633,9/18/2002
35,PolandPOL,626,9/18/2002
36,MoroccoMAR,620,9/18/2002
37,Saudi ArabiaKSA,618,9/18/2002
38,NorwayNOR,616,9/18/2002
39,TunisiaTUN,609,9/18/2002
40,HondurasHON,604,9/18/2002
41,EgyptEGY,594,9/18/2002
42,Trinidad and TobagoTRI,580,9/18/2002
43,AustraliaAUS,579,9/18/2002
44,FinlandFIN,572,9/18/2002
45,SlovakiaSVK,563,9/18/2002
46,GreeceGRE,562,9/18/2002
47,UkraineUKR,559,9/18/2002
48,New ZealandNZL,558,9/18/2002
49,Côte d'IvoireCIV,548,9/18/2002
50,BulgariaBUL,546,9/18/2002
1,BrazilBRA,855,10/23/2002
2,FranceFRA,790,10/23/2002
3,SpainESP,779,10/23/2002
4,GermanyGER,763,10/23/2002
5,ArgentinaARG,753,10/23/2002
6,EnglandENG,731,10/23/2002
7,MexicoMEX,731,10/23/2002
8,TurkeyTUR,727,10/23/2002
9,NetherlandsNED,726,10/23/2002
10,USAUSA,719,10/23/2002
11,ItalyITA,713,10/23/2002
12,PortugalPOR,713,10/23/2002
13,DenmarkDEN,703,10/23/2002
14,Republic of IrelandIRL,695,10/23/2002
15,Czech RepublicCZE,690,10/23/2002
16,YugoslaviaYUG,690,10/23/2002
17,BelgiumBEL,688,10/23/2002
18,ParaguayPAR,683,10/23/2002
19,CameroonCMR,682,10/23/2002
20,Korea RepublicKOR,667,10/23/2002
21,RomaniaROU,665,10/23/2002
22,ColombiaCOL,661,10/23/2002
23,RussiaRUS,655,10/23/2002
24,SwedenSWE,655,10/23/2002
25,UruguayURU,653,10/23/2002
26,Costa RicaCRC,652,10/23/2002
27,JapanJPN,652,10/23/2002
28,NigeriaNGA,642,10/23/2002
29,NorwayNOR,642,10/23/2002
30,South AfricaRSA,640,10/23/2002
31,SenegalSEN,638,10/23/2002
32,EcuadorECU,636,10/23/2002
33,IR IranIRN,636,10/23/2002
34,SloveniaSVN,634,10/23/2002
35,CroatiaCRO,631,10/23/2002
36,PolandPOL,631,10/23/2002
37,MoroccoMAR,625,10/23/2002
38,Saudi ArabiaKSA,615,10/23/2002
39,TunisiaTUN,605,10/23/2002
40,EgyptEGY,593,10/23/2002
41,HondurasHON,592,10/23/2002
42,BulgariaBUL,586,10/23/2002
43,FinlandFIN,583,10/23/2002
44,AustraliaAUS,577,10/23/2002
45,SwitzerlandSUI,576,10/23/2002
46,UkraineUKR,576,10/23/2002
47,Trinidad and TobagoTRI,565,10/23/2002
48,GreeceGRE,564,10/23/2002
49,New ZealandNZL,561,10/23/2002
50,IsraelISR,558,10/23/2002
1,BrazilBRA,857,11/20/2002
2,FranceFRA,787,11/20/2002
3,SpainESP,779,11/20/2002
4,GermanyGER,763,11/20/2002
5,ArgentinaARG,741,11/20/2002
6,EnglandENG,734,11/20/2002
7,MexicoMEX,731,11/20/2002
8,TurkeyTUR,728,11/20/2002
9,USAUSA,720,11/20/2002
10,NetherlandsNED,719,11/20/2002
11,ItalyITA,710,11/20/2002
12,PortugalPOR,709,11/20/2002
13,DenmarkDEN,705,11/20/2002
14,Republic of IrelandIRL,699,11/20/2002
15,Czech RepublicCZE,694,11/20/2002
16,YugoslaviaYUG,687,11/20/2002
17,CameroonCMR,685,11/20/2002
18,BelgiumBEL,682,11/20/2002
19,ParaguayPAR,681,11/20/2002
20,Korea RepublicKOR,671,11/20/2002
21,RomaniaROU,662,11/20/2002
22,JapanJPN,654,11/20/2002
23,UruguayURU,653,11/20/2002
24,RussiaRUS,652,11/20/2002
25,SwedenSWE,652,11/20/2002
26,Costa RicaCRC,650,11/20/2002
27,NigeriaNGA,643,11/20/2002
28,NorwayNOR,641,11/20/2002
29,SenegalSEN,640,11/20/2002
30,ColombiaCOL,639,11/20/2002
31,South AfricaRSA,637,11/20/2002
32,EcuadorECU,634,11/20/2002
33,PolandPOL,632,11/20/2002
34,IR IranIRN,630,11/20/2002
35,MoroccoMAR,626,11/20/2002
36,CroatiaCRO,625,11/20/2002
37,SloveniaSVN,625,11/20/2002
38,Saudi ArabiaKSA,612,11/20/2002
39,TunisiaTUN,597,11/20/2002
40,EgyptEGY,591,11/20/2002
41,BulgariaBUL,586,11/20/2002
42,FinlandFIN,582,11/20/2002
43,HondurasHON,582,11/20/2002
44,Trinidad and TobagoTRI,578,11/20/2002
45,SwitzerlandSUI,576,11/20/2002
46,UkraineUKR,574,11/20/2002
47,AustraliaAUS,571,11/20/2002
48,GreeceGRE,561,11/20/2002
49,New ZealandNZL,561,11/20/2002
50,IraqIRQ,558,11/20/2002
1,BrazilBRA,856,12/18/2002
2,FranceFRA,787,12/18/2002
3,SpainESP,779,12/18/2002
4,GermanyGER,761,12/18/2002
5,ArgentinaARG,751,12/18/2002
6,NetherlandsNED,746,12/18/2002
7,EnglandENG,734,12/18/2002
8,MexicoMEX,732,12/18/2002
9,TurkeyTUR,729,12/18/2002
10,USAUSA,723,12/18/2002
11,PortugalPOR,710,12/18/2002
12,DenmarkDEN,707,12/18/2002
13,ItalyITA,705,12/18/2002
14,Republic of IrelandIRL,697,12/18/2002
15,Czech RepublicCZE,687,12/18/2002
16,CameroonCMR,685,12/18/2002
17,BelgiumBEL,682,12/18/2002
18,ParaguayPAR,679,12/18/2002
19,Serbia and MontenegroSCG,678,12/18/2002
20,Korea RepublicKOR,669,12/18/2002
21,Costa RicaCRC,652,12/18/2002
22,JapanJPN,650,12/18/2002
23,RussiaRUS,650,12/18/2002
24,RomaniaROU,649,12/18/2002
25,SwedenSWE,649,12/18/2002
26,NorwayNOR,648,12/18/2002
27,SenegalSEN,646,12/18/2002
28,UruguayURU,643,12/18/2002
29,NigeriaNGA,642,12/18/2002
30,South AfricaRSA,636,12/18/2002
31,EcuadorECU,634,12/18/2002
32,CroatiaCRO,629,12/18/2002
33,IR IranIRN,628,12/18/2002
34,PolandPOL,628,12/18/2002
35,MoroccoMAR,621,12/18/2002
36,SloveniaSVN,620,12/18/2002
37,ColombiaCOL,617,12/18/2002
38,Saudi ArabiaKSA,608,12/18/2002
39,EgyptEGY,592,12/18/2002
40,HondurasHON,591,12/18/2002
41,TunisiaTUN,586,12/18/2002
42,BulgariaBUL,582,12/18/2002
43,FinlandFIN,580,12/18/2002
44,SwitzerlandSUI,576,12/18/2002
45,UkraineUKR,575,12/18/2002
46,IsraelISR,568,12/18/2002
47,Trinidad and TobagoTRI,567,12/18/2002
48,GreeceGRE,563,12/18/2002
49,New ZealandNZL,561,12/18/2002
50,AustraliaAUS,557,12/18/2002
1,BrazilBRA,856,1/15/2003
2,FranceFRA,787,1/15/2003
3,SpainESP,780,1/15/2003
4,GermanyGER,765,1/15/2003
5,ArgentinaARG,750,1/15/2003
6,NetherlandsNED,746,1/15/2003
7,TurkeyTUR,736,1/15/2003
8,EnglandENG,734,1/15/2003
9,MexicoMEX,732,1/15/2003
10,USAUSA,723,1/15/2003
11,PortugalPOR,710,1/15/2003
12,DenmarkDEN,707,1/15/2003
13,ItalyITA,705,1/15/2003
14,Republic of IrelandIRL,697,1/15/2003
15,Czech RepublicCZE,687,1/15/2003
16,BelgiumBEL,686,1/15/2003
17,CameroonCMR,684,1/15/2003
18,ParaguayPAR,679,1/15/2003
19,Serbia and MontenegroSCG,677,1/15/2003
20,Korea RepublicKOR,669,1/15/2003
21,Costa RicaCRC,651,1/15/2003
22,JapanJPN,650,1/15/2003
23,RussiaRUS,650,1/15/2003
24,SwedenSWE,649,1/15/2003
25,NorwayNOR,648,1/15/2003
26,RomaniaROU,648,1/15/2003
27,SenegalSEN,647,1/15/2003
28,UruguayURU,643,1/15/2003
29,NigeriaNGA,642,1/15/2003
30,South AfricaRSA,636,1/15/2003
31,EcuadorECU,634,1/15/2003
32,CroatiaCRO,629,1/15/2003
33,PolandPOL,628,1/15/2003
34,IR IranIRN,627,1/15/2003
35,MoroccoMAR,623,1/15/2003
36,SloveniaSVN,620,1/15/2003
37,ColombiaCOL,617,1/15/2003
38,Saudi ArabiaKSA,612,1/15/2003
39,EgyptEGY,596,1/15/2003
40,HondurasHON,591,1/15/2003
41,TunisiaTUN,586,1/15/2003
42,BulgariaBUL,582,1/15/2003
43,FinlandFIN,580,1/15/2003
44,SwitzerlandSUI,576,1/15/2003
45,UkraineUKR,574,1/15/2003
46,IsraelISR,568,1/15/2003
47,Trinidad and TobagoTRI,566,1/15/2003
48,GreeceGRE,563,1/15/2003
49,New ZealandNZL,562,1/15/2003
50,AustraliaAUS,557,1/15/2003
1,BrazilBRA,852,2/19/2003
2,FranceFRA,784,2/19/2003
3,SpainESP,783,2/19/2003
4,ArgentinaARG,768,2/19/2003
5,GermanyGER,762,2/19/2003
6,NetherlandsNED,754,2/19/2003
7,TurkeyTUR,735,2/19/2003
8,EnglandENG,731,2/19/2003
9,MexicoMEX,729,2/19/2003
10,USAUSA,721,2/19/2003
11,DenmarkDEN,707,2/19/2003
12,PortugalPOR,707,2/19/2003
13,ItalyITA,702,2/19/2003
14,Republic of IrelandIRL,697,2/19/2003
15,Czech RepublicCZE,686,2/19/2003
16,BelgiumBEL,684,2/19/2003
17,CameroonCMR,682,2/19/2003
18,ParaguayPAR,676,2/19/2003
19,Serbia and MontenegroSCG,674,2/19/2003
20,Korea RepublicKOR,668,2/19/2003
21,RussiaRUS,664,2/19/2003
22,Costa RicaCRC,650,2/19/2003
23,RomaniaROU,649,2/19/2003
24,JapanJPN,648,2/19/2003
25,NorwayNOR,648,2/19/2003
26,SwedenSWE,646,2/19/2003
27,SenegalSEN,644,2/19/2003
28,UruguayURU,641,2/19/2003
29,NigeriaNGA,640,2/19/2003
30,South AfricaRSA,633,2/19/2003
31,EcuadorECU,632,2/19/2003
32,IR IranIRN,627,2/19/2003
33,CroatiaCRO,626,2/19/2003
34,PolandPOL,626,2/19/2003
35,MoroccoMAR,620,2/19/2003
36,SloveniaSVN,617,2/19/2003
37,ColombiaCOL,616,2/19/2003
38,Saudi ArabiaKSA,610,2/19/2003
39,EgyptEGY,593,2/19/2003
40,HondurasHON,589,2/19/2003
41,SwitzerlandSUI,589,2/19/2003
42,TunisiaTUN,586,2/19/2003
43,FinlandFIN,581,2/19/2003
44,BulgariaBUL,580,2/19/2003
45,IsraelISR,579,2/19/2003
46,UkraineUKR,576,2/19/2003
47,AustraliaAUS,575,2/19/2003
48,GreeceGRE,575,2/19/2003
49,Trinidad and TobagoTRI,564,2/19/2003
50,New ZealandNZL,560,2/19/2003
1,BrazilBRA,853,3/26/2003
2,SpainESP,780,3/26/2003
3,FranceFRA,778,3/26/2003
4,ArgentinaARG,761,3/26/2003
5,GermanyGER,758,3/26/2003
6,NetherlandsNED,752,3/26/2003
7,TurkeyTUR,732,3/26/2003
8,MexicoMEX,729,3/26/2003
9,EnglandENG,725,3/26/2003
10,USAUSA,723,3/26/2003
11,DenmarkDEN,704,3/26/2003
12,PortugalPOR,700,3/26/2003
13,ItalyITA,699,3/26/2003
14,Republic of IrelandIRL,696,3/26/2003
15,Czech RepublicCZE,685,3/26/2003
16,BelgiumBEL,683,3/26/2003
17,CameroonCMR,678,3/26/2003
18,ParaguayPAR,672,3/26/2003
19,Korea RepublicKOR,668,3/26/2003
20,Serbia and MontenegroSCG,667,3/26/2003
21,Costa RicaCRC,660,3/26/2003
22,RussiaRUS,654,3/26/2003
23,SwedenSWE,652,3/26/2003
24,RomaniaROU,650,3/26/2003
25,JapanJPN,647,3/26/2003
26,NorwayNOR,646,3/26/2003
27,UruguayURU,640,3/26/2003
28,SenegalSEN,639,3/26/2003
29,EcuadorECU,630,3/26/2003
30,NigeriaNGA,627,3/26/2003
31,South AfricaRSA,627,3/26/2003
32,IR IranIRN,623,3/26/2003
33,PolandPOL,623,3/26/2003
34,CroatiaCRO,622,3/26/2003
35,MoroccoMAR,615,3/26/2003
36,SloveniaSVN,613,3/26/2003
37,ColombiaCOL,611,3/26/2003
38,Saudi ArabiaKSA,608,3/26/2003
39,HondurasHON,598,3/26/2003
40,EgyptEGY,593,3/26/2003
41,SwitzerlandSUI,587,3/26/2003
42,FinlandFIN,582,3/26/2003
43,IsraelISR,580,3/26/2003
44,TunisiaTUN,579,3/26/2003
45,AustraliaAUS,576,3/26/2003
46,BulgariaBUL,576,3/26/2003
47,UkraineUKR,576,3/26/2003
48,GreeceGRE,573,3/26/2003
49,Trinidad and TobagoTRI,564,3/26/2003
50,New ZealandNZL,561,3/26/2003
1,BrazilBRA,849,4/23/2003
